fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,bound_sulfur_dioxide,quality_class
7.3,0.26,0.33,11.8,0.057,48,0.99693,3.1,0.55,10,79,1
6.8,0.17,0.36,1.4,0.036,38,0.99006,3.19,0.66,12,70,1
7.1,0.43,0.3,6.6,0.025,15,0.99126,3.18,0.46,12.6,123,1
5.8,0.315,0.27,1.55,0.026,15,0.98994,3.37,0.4,11.9,55,2
5.9,0.17,0.28,0.7,0.027,5,0.98985,3.13,0.32,10.6,23,0
5.6,0.12,0.26,4.3,0.038,18,0.99477,3.36,0.46,9.2,79,0
5.8,0.13,0.26,5.1,0.039,19,0.99478,3.36,0.47,9.3,84,1
7.7,0.18,0.35,5.8,0.055,25,0.99576,3.24,0.54,10.2,119,1
7.7,0.16,0.36,5.9,0.054,25,0.99578,3.25,0.54,10.2,123,1
6,0.26,0.15,1.3,0.06,51,0.99354,3.14,0.51,8.7,103,0
7.3,0.32,0.35,1.4,0.05,8,0.99244,3.24,0.42,10.7,155,0
7.7,0.3,0.34,1.2,0.048,4,0.99084,3.18,0.34,12.1,115,1
7.9,0.16,0.3,7.4,0.05,58,0.99612,3.12,0.37,9.5,94,1
6.4,0.27,0.29,10.8,0.028,17,0.99356,3.18,0.37,11.2,101,1
6.9,0.16,0.37,1.8,0.034,36,0.98952,2.93,0.59,12,59,1
7.9,0.16,0.3,7.4,0.05,58,0.99612,3.12,0.37,9.5,94,1
7.7,0.3,0.34,1.2,0.048,4,0.99084,3.18,0.34,12.1,115,1
7.3,0.32,0.35,1.4,0.05,8,0.99244,3.24,0.42,10.7,155,0
6.2,0.29,0.32,3.6,0.026,39,0.9892,3.31,0.37,13.1,99,2
7.6,0.39,0.32,3.6,0.035,22,0.99144,3.08,0.6,12.5,71,2
7,0.36,0.32,10.05,0.045,37,0.99352,3.09,0.33,11.7,94,2
7,0.36,0.32,10.05,0.045,37,0.99352,3.09,0.33,11.7,94,2
7,0.36,0.32,10.5,0.045,35,0.9935,3.09,0.33,11.6,100,2
7.6,0.2,0.36,1.9,0.043,24,0.99237,3.29,0.54,11.3,87,1
7.6,0.39,0.32,3.6,0.035,22,0.99144,3.08,0.6,12.5,71,2
6.7,0.2,0.37,1.65,0.025,42,0.99022,3.11,0.45,11.4,61,0
6.2,0.235,0.34,1.9,0.036,4,0.99032,3.4,0.44,12.2,113,0
7.1,0.2,0.31,6.85,0.053,32,0.99587,3.31,0.59,10.4,179,1
7.1,0.2,0.31,7.4,0.053,32,0.99587,3.31,0.59,10.4,179,1
7.1,0.2,0.31,7.4,0.053,32,0.99587,3.31,0.59,10.4,179,1
8,0.3,0.36,11,0.034,8,0.99354,3.05,0.41,12.2,62,1
6.9,0.4,0.42,6.2,0.066,41,0.99552,3.12,0.54,9.4,135,0
6.9,0.4,0.43,6.2,0.065,42,0.99552,3.11,0.53,9.4,136,0
7.1,0.2,0.31,6.85,0.053,32,0.99587,3.31,0.59,10.4,179,1
6.6,0.25,0.51,8,0.047,61,0.99604,3.22,0.49,9.2,128,0
6.8,0.26,0.44,8.2,0.046,52,0.99584,3.2,0.51,9.4,131,0
6.5,0.37,0.3,2.2,0.033,39,0.98894,3.22,0.53,13.5,68,2
6.8,0.35,0.53,10.1,0.053,37,0.9963,3.07,0.4,9.4,114,0
6.4,0.22,0.32,7.2,0.028,15,0.993,3.13,0.55,10.9,68,2
6.5,0.37,0.3,2.2,0.033,39,0.98894,3.22,0.53,13.5,68,2
6.8,0.35,0.53,10.1,0.053,37,0.9963,3.07,0.4,9.4,114,0
6.9,0.31,0.32,1.6,0.036,34,0.99068,3.19,0.45,11.4,80,2
6.7,0.16,0.37,1.3,0.036,45,0.98964,3.19,0.51,12.4,80,2
6.6,0.25,0.51,8,0.047,61,0.99604,3.22,0.49,9.2,128,0
6.8,0.26,0.44,8.2,0.046,52,0.99584,3.2,0.51,9.4,131,0
5.6,0.15,0.31,5.3,0.038,8,0.9923,3.3,0.39,10.5,71,1
5.5,0.15,0.32,14,0.031,16,0.99437,3.26,0.38,11.5,83,2
6.4,0.22,0.32,7.2,0.028,15,0.993,3.13,0.55,10.9,68,2
7.3,0.2,0.26,1.6,0.04,36,0.99238,3.34,0.44,10.8,87,1
7,0.27,0.48,6.1,0.042,60,0.99566,3.2,0.5,9.4,124,1
5.8,0.32,0.31,2.7,0.049,25,0.99067,3.44,0.73,12.2,128,2
7.8,0.26,0.31,3.6,0.025,22,0.99066,2.99,0.47,12.1,78,2
7.4,0.3,0.32,1.7,0.03,23,0.9929,3.17,0.66,10.9,105,0
6.7,0.16,0.34,1.6,0.026,27,0.9934,3.34,0.58,10.1,82,1
5.8,0.32,0.31,2.7,0.049,25,0.99067,3.44,0.73,12.2,128,2
6.7,0.19,0.39,1,0.032,14,0.98912,3.31,0.38,13,57,2
6.6,0.36,0.24,0.9,0.038,15,0.99066,3.23,0.39,11,57,0
7.2,0.17,0.41,1.6,0.052,24,0.99228,3.19,0.49,10.8,102,0
6.7,0.19,0.39,1,0.032,14,0.98912,3.31,0.38,13,57,2
6,0.11,0.47,10.6,0.052,69,0.9958,2.91,0.34,9.3,79,0
6,0.21,0.34,2,0.042,63,0.99052,3.44,0.42,11.4,60,1
6.5,0.2,0.24,9.2,0.044,25,0.99502,3.22,0.44,10.5,125,0
7.6,0.27,0.34,5,0.04,18,0.99084,3.06,0.48,12.4,38,1
7.2,0.26,0.4,6.3,0.047,52,0.99573,3.18,0.53,9.5,120,1
6.3,0.25,0.22,3.3,0.048,41,0.99256,3.16,0.5,10.5,120,1
6.5,0.22,0.45,8,0.053,52,0.9959,3.23,0.48,9.1,144,1
6.4,0.14,0.31,1.2,0.034,53,0.99084,3.38,0.35,11.5,85,2
6.4,0.14,0.31,1.2,0.034,53,0.99084,3.38,0.35,11.5,85,2
7.1,0.26,0.32,16.2,0.044,31,0.99644,3.17,0.37,11.2,139,0
6.6,0.22,0.34,11.6,0.05,59,0.99526,3.22,0.4,10.8,81,0
6.6,0.45,0.43,7.2,0.064,31,0.9954,3.12,0.44,9.4,155,0
6.6,0.17,0.3,1.1,0.031,13,0.99095,3.17,0.58,11,60,1
7.2,0.44,0.28,3.4,0.048,22,0.99188,3.21,0.37,11.3,90,2
6.2,0.15,0.27,1.4,0.041,51,0.9909,3.28,0.38,11.2,66,1
6.3,0.25,0.22,3.3,0.048,41,0.99256,3.16,0.5,10.5,120,1
6.5,0.22,0.45,8,0.053,52,0.9959,3.23,0.48,9.1,144,1
7.3,0.26,0.3,9.3,0.05,35,0.99581,3.21,0.5,10.4,119,1
6.9,0.15,0.29,2.3,0.033,14,0.99132,3.1,0.58,11.2,68,2
5.8,0.22,0.29,0.9,0.034,34,0.98936,3.14,0.36,11.1,55,2
6.5,0.37,0.33,3.5,0.036,23,0.99136,3.18,0.38,11.2,69,1
5.5,0.375,0.38,1.7,0.036,17,0.99142,3.29,0.39,10.5,81,1
5.9,0.2,0.4,1.3,0.047,23,0.99232,3.2,0.45,10,69,1
5.9,0.22,0.38,1.3,0.046,24,0.99232,3.2,0.47,10,66,1
8,0.22,0.31,5.6,0.049,24,0.993,3.1,0.42,10.9,73,0
6.5,0.22,0.29,7.4,0.028,16,0.99311,3.15,0.56,10.9,71,2
6.9,0.15,0.29,2.3,0.033,14,0.99132,3.1,0.58,11.2,68,2
5.8,0.2,0.34,1,0.035,40,0.98993,3.5,0.42,11.7,46,0
6.7,0.24,0.29,14.9,0.053,55,0.99839,3.03,0.52,9,81,0
7.3,0.23,0.34,9.3,0.052,19,0.99574,3.04,0.56,10,67,0
7.9,0.2,0.39,1,0.041,37,0.99093,3.08,0.43,11.9,117,0
6.4,0.21,0.28,5.9,0.047,29,0.99278,3.15,0.4,11,72,1
6.9,0.33,0.26,5,0.027,46,0.9924,3.25,0.43,11.2,97,2
6.6,0.29,0.31,3.9,0.027,39,0.99035,3.24,0.6,12.6,57,2
6.9,0.33,0.26,5,0.027,46,0.9924,3.25,0.43,11.2,97,2
6.6,0.21,0.36,0.8,0.034,48,0.99165,3.24,0.68,10.5,65,1
7.3,0.21,0.33,1,0.037,66,0.9923,3.11,0.52,10.2,78,1
6.4,0.21,0.28,5.9,0.047,29,0.99278,3.15,0.4,11,72,1
6.5,0.15,0.32,1.3,0.036,19,0.98964,3.18,0.41,12.3,57,1
5.6,0.19,0.46,1.1,0.032,33,0.9909,3.36,0.5,10.4,82,1
6.7,0.48,0.32,1.4,0.021,22,0.9889,3.15,0.53,12.7,99,2
6.2,0.23,0.23,1.2,0.018,18,0.99178,3.05,0.28,10.6,110,0
6,0.17,0.29,5,0.028,25,0.99076,3.14,0.34,12.3,83,1
6.7,0.48,0.32,1.4,0.021,22,0.9889,3.15,0.53,12.7,99,2
6.7,0.15,0.38,1.7,0.037,20,0.99046,3.09,0.53,11.4,64,1
6.7,0.15,0.38,1.7,0.037,20,0.99046,3.09,0.53,11.4,64,1
6.4,0.22,0.31,13.9,0.04,57,0.99672,3.21,0.38,10.7,78,0
6.5,0.15,0.55,5.9,0.045,75,0.99482,2.97,0.4,9.3,87,0
5.9,0.32,0.33,2.1,0.027,35,0.98945,3.37,0.42,12.7,103,1
5.7,0.37,0.3,1.1,0.029,24,0.98883,3.18,0.39,11.7,64,1
7.9,0.25,0.35,6.7,0.039,22,0.99362,2.93,0.49,10.7,42,0
7.2,0.21,0.28,2.7,0.033,38,0.99075,2.99,0.43,11.8,56,2
7,0.24,0.3,6.7,0.039,37,0.99436,3.2,0.39,9.9,88,0
6.8,0.475,0.33,3.95,0.047,16,0.98988,3.23,0.53,13.4,65,2
7,0.28,0.32,7.75,0.032,30,0.99158,3.12,0.64,12.8,84,2
6.9,0.4,0.3,10.6,0.033,24,0.99265,3.15,0.45,12.8,63,1
6.6,0.41,0.31,1.6,0.042,18,0.99195,3.13,0.41,10.5,83,0
6.4,0.2,0.28,2.5,0.032,24,0.99168,3.31,0.55,11.5,60,0
8.5,0.22,0.34,0.7,0.04,5,0.9918,3.04,0.37,10.5,20,0
8.4,0.36,0.36,11.1,0.032,21,0.99313,2.95,0.39,13,111,1
5.2,0.285,0.29,5.15,0.035,64,0.9895,3.19,0.34,12.4,74,2
6.9,0.2,0.3,4.7,0.041,40,0.9932,3.16,0.35,10.2,108,1
6.7,0.42,0.46,9.7,0.054,67,0.99848,3.23,0.5,9,167,0
6.4,0.125,0.36,1.4,0.044,22,0.99014,3.15,0.5,11.7,46,2
7,0.31,0.39,7.5,0.055,42,0.99652,3.37,0.54,10.3,176,0
6.7,0.42,0.46,9.7,0.054,67,0.99848,3.23,0.5,9,167,0
8.6,0.18,0.28,0.8,0.032,25,0.99104,2.99,0.38,11.1,53,0
6.2,0.21,0.26,13.1,0.05,59,0.99772,3.31,0.46,9,91,0
6.1,0.16,0.37,1.1,0.031,37,0.9922,3.4,0.58,10.5,60,1
6.5,0.22,0.32,2.2,0.028,36,0.99076,3.27,0.59,11.9,56,2
6.2,0.36,0.14,8.9,0.036,38,0.99622,3.27,0.5,9.4,117,0
5.7,0.21,0.25,1.1,0.035,26,0.9902,3.31,0.52,11.4,55,1
6.4,0.25,0.32,0.9,0.034,40,0.99114,3.31,0.58,10.8,74,2
6.6,0.26,0.46,6.9,0.047,59,0.99594,3.2,0.45,9.3,124,0
5.7,0.21,0.25,1.1,0.035,26,0.9902,3.31,0.52,11.4,55,1
6.2,0.2,0.31,1,0.031,22,0.99035,3.24,0.52,11.3,51,1
6.2,0.18,0.3,1,0.031,23,0.99032,3.23,0.52,11.3,50,1
6.1,0.37,0.2,7.6,0.031,49,0.99558,3.22,0.48,9.5,121,0
6.2,0.36,0.14,8.9,0.036,38,0.99622,3.27,0.5,9.4,117,0
6.5,0.22,0.32,2.2,0.028,36,0.99076,3.27,0.59,11.9,56,2
7.7,0.18,0.3,1.2,0.046,49,0.99413,3.03,0.38,9.3,150,0
6.9,0.14,0.38,1,0.041,22,0.99043,3.03,0.54,11.4,59,1
6.9,0.14,0.38,1,0.041,22,0.99043,3.03,0.54,11.4,59,1
6,0.44,0.26,3.1,0.053,57,0.98982,3.22,0.39,12.7,71,1
7.1,0.36,0.4,1.95,0.033,26,0.98934,3.2,0.45,13.5,92,2
5.7,0.28,0.28,2.2,0.019,15,0.9902,3.06,0.52,11.2,50,1
6.4,0.16,0.32,8.75,0.038,38,0.99449,3.19,0.41,10.7,80,0
7.4,0.28,0.4,11.9,0.032,13,0.99629,3.01,0.46,10.8,79,0
6.7,0.39,0.31,2.7,0.054,27,0.9948,3.46,0.57,10.5,175,1
6.9,0.22,0.31,6.3,0.029,41,0.99326,3.08,0.49,10.8,90,1
6.6,0.22,0.29,14.4,0.046,39,0.99834,3.05,0.5,9.1,79,1
7.7,0.25,0.3,7.8,0.038,67,0.99555,3.1,0.5,10.1,129,0
7,0.31,0.31,9.1,0.036,45,0.99216,2.98,0.31,12,95,2
7,0.31,0.31,9.1,0.036,45,0.99216,2.98,0.31,12,95,2
6.6,0.22,0.29,14.4,0.046,39,0.99834,3.05,0.5,9.1,79,1
6.4,0.25,0.32,11.3,0.038,69,0.99573,3.14,0.5,10.2,123,1
6.9,0.22,0.31,6.3,0.029,41,0.99326,3.08,0.49,10.8,90,1
5.3,0.21,0.29,0.7,0.028,11,0.99215,3.3,0.4,9.8,55,0
7.1,0.27,0.28,1.25,0.023,3,0.98993,2.95,0.3,11.4,86,0
5.2,0.17,0.27,0.7,0.03,11,0.99218,3.3,0.41,9.8,57,0
7.7,0.25,0.3,7.8,0.038,67,0.99555,3.1,0.5,10.1,129,0
7,0.12,0.29,10.3,0.039,41,0.99564,3.19,0.38,9.8,57,2
7,0.12,0.29,10.3,0.039,41,0.99564,3.19,0.38,9.8,57,2
7.1,0.29,0.34,7.8,0.036,49,0.99397,3.21,0.4,10.7,79,1
7.2,0.3,0.3,8.7,0.022,14,0.99576,3.11,0.61,10.6,97,0
6.8,0.26,0.46,8.3,0.037,49,0.99601,3.17,0.47,9.3,124,0
7,0.12,0.29,10.3,0.039,41,0.99564,3.19,0.38,9.8,57,2
7.1,0.29,0.34,7.8,0.036,49,0.99397,3.21,0.4,10.7,79,1
4.9,0.33,0.31,1.2,0.016,39,0.98713,3.33,0.59,14,111,2
5.1,0.29,0.28,8.3,0.026,27,0.99308,3.36,0.37,11,80,1
5.1,0.29,0.28,8.3,0.026,27,0.99308,3.36,0.37,11,80,1
6.8,0.26,0.48,6.2,0.049,55,0.99582,3.21,0.45,9.4,127,1
6,0.28,0.25,1.8,0.042,8,0.9929,3.08,0.55,9,100,0
7.2,0.2,0.22,1.6,0.044,17,0.99471,3.37,0.53,10,84,0
6.1,0.27,0.25,1.8,0.041,9,0.9929,3.08,0.54,9,100,0
6,0.28,0.25,1.8,0.042,8,0.9929,3.08,0.55,9,100,0
6.4,0.29,0.3,2.9,0.036,25,0.99037,3.29,0.6,12.4,54,2
7.4,0.35,0.24,6,0.042,28,0.99304,3.14,0.44,11.3,95,0
6.4,0.12,0.3,1.1,0.031,37,0.98986,3.01,0.56,11.7,57,1
7.2,0.2,0.22,1.6,0.044,17,0.99471,3.37,0.53,10,84,0
7.3,0.4,0.26,5.45,0.016,26,0.98951,2.84,0.54,13.2,64,2
7.7,0.11,0.34,14.05,0.04,41,0.99634,3.07,0.59,11,73,2
6.9,0.23,0.41,8,0.03,30,0.99368,3.22,0.54,11,84,1
7.5,0.38,0.29,4.9,0.021,38,0.99026,3.08,0.48,13,75,2
5.5,0.34,0.26,2.2,0.021,31,0.98919,3.55,0.49,13,88,2
6.6,0.23,0.3,14.9,0.051,33,0.99835,3.04,0.54,9,85,1
6.6,0.23,0.3,14.9,0.051,33,0.99835,3.04,0.54,9,85,1
8.4,0.31,0.31,0.95,0.021,52,0.99038,2.93,0.32,11.5,96,0
6.7,0.2,0.3,1.4,0.025,17,0.99104,3.11,0.44,11,59,1
8.4,0.31,0.31,0.95,0.021,52,0.99038,2.93,0.32,11.5,96,0
7.3,0.26,0.24,1.7,0.05,10,0.99286,3.11,0.43,9.9,102,0
6.3,0.22,0.22,5.6,0.039,31,0.99296,3.12,0.46,10.4,97,1
6.6,0.23,0.3,14.9,0.051,33,0.99835,3.04,0.54,9,85,1
7.5,0.19,0.4,7.1,0.056,50,0.9954,3.06,0.52,9.9,60,1
8,0.14,0.33,1.2,0.045,71,0.9914,3.07,0.47,11,91,1
6.8,0.32,0.39,9.6,0.026,34,0.99286,3.18,0.35,12.1,90,1
6.6,0.23,0.2,11.4,0.044,45,0.99604,2.96,0.51,9.7,86,1
6.6,0.23,0.2,11.4,0.044,45,0.99604,2.96,0.51,9.7,86,1
6.7,0.36,0.26,7.9,0.034,39,0.99119,2.99,0.3,12.2,84,2
6.1,0.38,0.42,5,0.016,31,0.99007,3.15,0.31,12.4,82,2
8.5,0.23,0.28,11.1,0.033,30,0.99507,3.03,0.39,10.5,67,2
7,0.2,0.31,8,0.05,29,0.99596,3.28,0.57,10.4,184,1
6,0.26,0.32,3.8,0.029,48,0.99011,3.15,0.34,12,132,1
6.9,0.3,0.3,10.55,0.037,4,0.99184,3.07,0.32,12.7,24,1
6.7,0.18,0.28,10.2,0.039,29,0.99469,3.11,0.45,10.9,86,2
6.7,0.18,0.28,10.2,0.039,29,0.99469,3.11,0.45,10.9,86,2
6.8,0.18,0.28,9.8,0.039,29,0.99406,3.11,0.45,10.9,84,2
7.2,0.19,0.31,6.3,0.034,17,0.99305,3.15,0.52,11.4,86,2
6.2,0.16,0.32,1.1,0.036,74,0.99096,3.22,0.41,11,110,1
5,0.27,0.32,4.5,0.032,58,0.98956,3.45,0.31,12.6,120,2
6.3,0.37,0.28,6.3,0.034,45,0.9921,3.29,0.46,11.6,107,2
6.6,0.2,0.27,10.9,0.038,29,0.99496,3.11,0.44,10.5,101,2
6.8,0.18,0.28,9.8,0.039,29,0.99406,3.11,0.45,10.9,84,2
6.8,0.18,0.28,9.8,0.039,29,0.99406,3.11,0.45,10.9,84,2
6.6,0.28,0.34,0.8,0.037,42,0.9888,3.03,0.37,12.5,77,1
6.5,0.35,0.36,0.8,0.034,32,0.98942,3.11,0.5,12.1,79,2
6.9,0.25,0.33,1.2,0.035,35,0.99082,3.02,0.58,11.3,123,1
6,0.32,0.3,1.3,0.025,18,0.98802,3.07,0.64,13.3,94,2
6.8,0.18,0.28,9.8,0.039,29,0.99406,3.11,0.45,10.9,84,2
6.7,0.18,0.28,10.2,0.039,29,0.99469,3.11,0.45,10.9,86,2
6.6,0.2,0.27,10.9,0.038,29,0.99496,3.11,0.44,10.5,101,2
6.3,0.37,0.28,6.3,0.034,45,0.9921,3.29,0.46,11.6,107,2
7.2,0.19,0.31,6.3,0.034,17,0.99305,3.15,0.52,11.4,86,2
6.3,0.18,0.36,1.2,0.034,26,0.99074,3.16,0.51,11,85,1
6.9,0.3,0.36,0.9,0.037,40,0.98968,3.08,0.36,12.1,116,1
6.2,0.16,0.32,1.1,0.036,74,0.99096,3.22,0.41,11,110,1
5,0.27,0.32,4.5,0.032,58,0.98956,3.45,0.31,12.6,120,2
5,0.3,0.33,3.7,0.03,54,0.9887,3.36,0.3,13,119,2
6.5,0.2,0.5,18.1,0.054,50,0.99941,2.94,0.64,8.8,171,1
6.7,0.25,0.31,1.35,0.061,30.5,0.99388,3.16,0.53,9.5,187.5,0
6.6,0.22,0.36,5.5,0.029,30,0.99206,3.2,0.47,11.8,75,1
6.8,0.25,0.37,3.1,0.026,29,0.99035,3.14,0.45,12.2,64,1
7,0.13,0.37,12.85,0.042,36,0.99581,3.05,0.55,10.7,69,1
7,0.45,0.34,19.8,0.04,12,0.9976,3.07,0.38,11,55,1
7.2,0.32,0.3,8.25,0.02,14,0.99362,2.99,0.44,11.4,90,1
7,0.13,0.37,12.85,0.042,36,0.99581,3.05,0.55,10.7,69,1
5.9,0.34,0.3,3.8,0.035,57,0.99016,3.09,0.34,12,78,1
6.8,0.22,0.31,6.9,0.037,33,0.99176,3.02,0.39,11.9,88,2
7.2,0.32,0.3,8.25,0.02,14,0.99362,2.99,0.44,11.4,90,1
8.4,0.32,0.35,11.7,0.029,3,0.99439,3.02,0.34,11.8,43,1
6.8,0.27,0.29,4.6,0.046,6,0.99458,3.34,0.48,10.6,82,0
7,0.45,0.34,19.8,0.04,12,0.9976,3.07,0.38,11,55,1
7,0.13,0.37,12.85,0.042,36,0.99581,3.05,0.55,10.7,69,1
8.4,0.22,0.3,8.9,0.024,17,0.99456,2.99,0.34,10.5,101,1
7.4,0.32,0.22,11.7,0.035,44,0.99578,3.1,0.45,10.4,106,0
7.5,0.18,0.37,6.2,0.05,21,0.99546,3.2,0.55,10.5,117,1
7.1,0.47,0.29,14.8,0.024,22,0.99518,3.12,0.48,12,120,2
7.1,0.47,0.29,14.8,0.024,22,0.99518,3.12,0.48,12,120,2
5.8,0.19,0.25,10.8,0.042,33,0.99646,3.22,0.41,9.2,91,1
6.7,0.14,0.46,1.6,0.036,15,0.99264,3.37,0.49,10.9,77,0
6.8,0.24,0.38,8.3,0.045,50,0.99578,3.15,0.5,9.5,135,1
6.9,0.25,0.47,8.4,0.042,36,0.99604,3.15,0.55,9.4,120,1
6,0.24,0.33,2.5,0.026,31,0.99014,3.13,0.5,11.3,54,2
6.8,0.29,0.34,3.5,0.054,26,0.99489,3.42,0.58,10.4,163,0
6.3,0.33,0.42,17.2,0.037,57,0.99884,3.26,0.57,9.4,113,1
6.5,0.23,0.45,2.1,0.027,43,0.99054,3.02,0.52,11.3,61,1
6.3,0.27,0.29,12.2,0.044,59,0.99782,3.14,0.4,8.8,137,1
6.3,0.2,0.37,11.8,0.045,58,0.99519,3.2,0.35,10.8,72,0
6.2,0.33,0.41,16.8,0.037,58,0.99882,3.25,0.57,9.4,115,1
6.3,0.33,0.42,17.2,0.037,57,0.99884,3.26,0.57,9.4,113,1
6,0.27,0.3,14.7,0.044,15,0.99666,3.12,0.53,10.3,129,1
5.7,0.12,0.26,5.5,0.034,21,0.99324,3.09,0.57,9.9,78,1
6.9,0.24,0.37,6.1,0.027,38,0.99086,3.19,0.34,12.4,74,1
7.7,0.18,0.53,1.2,0.041,42,0.9908,3.11,0.44,11.9,125,0
7.1,0.17,0.43,1.3,0.023,33,0.99067,3.11,0.56,11.7,99,1
7.6,0.17,0.36,4.5,0.042,26,0.99427,3.09,0.47,9.5,76,0
5.8,0.15,0.31,5.9,0.036,7,0.99152,3.2,0.43,11.9,66,1
6.3,0.25,0.44,1.7,0.024,36,0.98935,3.18,0.4,12.5,80,1
6.9,0.28,0.41,1.4,0.016,6,0.98876,3.16,0.4,13.4,49,0
6.2,0.25,0.38,7.9,0.045,54,0.99572,3.17,0.46,9.1,154,0
8.5,0.19,0.48,1.1,0.026,23,0.99184,2.9,0.5,10.5,35,1
6.2,0.25,0.54,7,0.046,58,0.99454,3.19,0.7,10.4,118,0
6.2,0.25,0.54,7,0.046,58,0.99454,3.19,0.7,10.4,118,0
6.8,0.28,0.43,7.6,0.03,30,0.99164,3.08,0.59,12.5,80,2
6.2,0.25,0.54,7,0.046,58,0.99454,3.19,0.7,10.4,118,0
7,0.15,0.38,15.3,0.045,54,0.9975,3.18,0.42,9.8,66,1
7.3,0.28,0.42,1.2,0.033,29,0.99205,3.17,0.43,10.7,113,0
6.1,0.18,0.38,2.3,0.033,28,0.98962,3.16,0.49,12.4,83,1
6.8,0.28,0.43,7.6,0.03,30,0.99164,3.08,0.59,12.5,80,2
6.5,0.36,0.38,10.2,0.028,20,0.99274,3.1,0.43,12.1,62,2
6.7,0.24,0.41,2.9,0.039,48,0.99052,3.25,0.43,12,74,0
6.6,0.25,0.33,8.5,0.042,29,0.99546,3.28,0.6,10.4,112,0
6.4,0.15,0.4,1.5,0.042,23,0.98972,3.11,0.46,12.2,64,2
6.3,0.28,0.3,3.1,0.039,24,0.9942,3.05,0.43,8.6,91,0
6.2,0.25,0.38,7.9,0.045,54,0.99572,3.17,0.46,9.1,154,0
7.1,0.28,0.35,3.5,0.028,35,0.99022,2.96,0.33,12.1,56,0
8.5,0.19,0.48,1.1,0.026,23,0.99184,2.9,0.5,10.5,35,1
6.2,0.25,0.54,7,0.046,58,0.99454,3.19,0.7,10.4,118,0
6,0.35,0.51,1.2,0.029,10,0.9903,3.46,0.42,11.9,92,1
5.8,0.31,0.32,4.5,0.024,28,0.98906,3.25,0.52,13.7,66,2
6.6,0.17,0.35,2.6,0.03,33,0.99146,3.22,0.72,11.3,45,1
8.5,0.23,0.4,9.9,0.036,24,0.9951,3.02,0.42,10.5,64,1
5.8,0.31,0.32,4.5,0.024,28,0.98906,3.25,0.52,13.7,66,2
6.1,0.2,0.34,9.5,0.041,38,0.995,3.14,0.44,10.1,163,0
6.3,0.37,0.37,1.5,0.024,12,0.98876,2.94,0.39,12.3,64,1
6.2,0.36,0.38,3.2,0.031,20,0.98956,3.06,0.33,12,69,2
6.6,0.17,0.35,2.6,0.03,33,0.99146,3.22,0.72,11.3,45,1
6.3,0.28,0.47,11.2,0.04,61,0.99592,3.12,0.51,9.5,122,1
7.6,0.27,0.52,3.2,0.043,28,0.99129,3.02,0.53,11.4,124,1
7,0.25,0.45,2.3,0.045,40,0.99064,3.16,0.48,11.9,78,2
6.8,0.13,0.39,1.4,0.034,19,0.99121,3.23,0.6,11.3,83,2
5.1,0.33,0.27,6.7,0.022,44,0.99221,3.36,0.39,11,85,2
6.7,0.34,0.4,2.1,0.033,34,0.98924,2.97,0.48,12.2,77,2
6.7,0.14,0.51,4.3,0.028,57,0.99176,2.91,0.54,10.7,67,2
7,0.26,0.34,10.9,0.038,25,0.99432,3.11,0.34,10.9,59,1
6.5,0.29,0.26,7,0.04,18,0.99366,3.17,0.38,10.2,95,1
7,0.25,0.45,2.3,0.045,40,0.99064,3.16,0.48,11.9,78,2
7.6,0.21,0.49,2.5,0.047,20,0.99178,3.15,0.48,11.1,110,0
7.7,0.26,0.51,2.6,0.045,26,0.99126,3,0.5,11.2,133,1
7.6,0.27,0.52,3.2,0.043,28,0.99129,3.02,0.53,11.4,124,1
7.7,0.25,0.49,2.5,0.047,31,0.99252,3.07,0.57,10.6,138,1
7.6,0.35,0.46,14.7,0.047,33,0.99709,3.03,0.53,10.3,118,0
6.9,0.3,0.36,4.5,0.054,31,0.99513,3.4,0.57,10.4,172,0
6.7,0.24,0.46,2.2,0.033,19,0.99045,3.1,0.62,11.9,92,1
6.5,0.23,0.39,1.9,0.036,41,0.99,3.19,0.43,11.9,57,2
7.6,0.23,0.34,1.6,0.043,24,0.99305,3.12,0.7,10.4,105,0
6.5,0.24,0.39,17.3,0.052,22,0.99888,3.11,0.47,9.2,104,1
6.3,0.17,0.32,4.2,0.04,37,0.99182,3.24,0.43,11.3,80,1
6.3,0.17,0.32,4.2,0.04,37,0.99182,3.24,0.43,11.3,80,1
6.7,0.21,0.37,2.5,0.034,35,0.9913,3.25,0.5,11,54,2
6.5,0.23,0.39,1.9,0.036,41,0.99,3.19,0.43,11.9,57,2
5.9,0.28,0.39,1.4,0.031,47,0.98836,3.08,0.64,12.9,100,2
5.9,0.19,0.37,0.8,0.027,3,0.9897,3.09,0.31,10.8,18,0
6.2,0.25,0.42,8,0.049,53,0.99586,3.16,0.47,9.1,153,1
7.6,0.23,0.34,1.6,0.043,24,0.99305,3.12,0.7,10.4,105,0
5.6,0.18,0.27,1.7,0.03,31,0.98892,3.35,0.37,12.9,72,1
5.5,0.18,0.22,5.5,0.037,10,0.99156,3.46,0.44,12.2,76,0
6.5,0.24,0.39,17.3,0.052,22,0.99888,3.11,0.47,9.2,104,1
7.4,0.23,0.38,8.6,0.052,41,0.99534,3.06,0.46,10.3,109,0
7.2,0.17,0.37,6.9,0.059,47,0.99322,3.08,0.46,11,81,2
